"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"cognition",0.0211,0.0221,-0.0205,0.0682,-0.0202,0.0685,0.8364,0.1636,0.8364,0.9999,7919.0244,5390.0203
"LLM_FreqAboutonceamonth",-0.0039,0.0632,-0.1256,0.1211,-0.1229,0.1234,0.4742,0.5258,0.5258,1.0001,9466.2983,5849.3792
"LLM_FreqAboutonceeverytwoweeks",-0.0446,0.0829,-0.2151,0.1093,-0.2104,0.1127,0.2889,0.7111,0.7111,1.0003,9159.7506,5241.8425
"LLM_FreqAboutonceaweek",-0.0333,0.0647,-0.1608,0.0899,-0.1598,0.0904,0.3026,0.6974,0.6974,0.9999,9222.5112,5843.3661
"LLM_FreqAboutonceaday",-0.0021,0.0674,-0.1375,0.1293,-0.1353,0.1314,0.488,0.512,0.512,1,9560.2754,5852.6366
"LLM_FreqMorethanonceaday",0.0079,0.0733,-0.1368,0.1513,-0.1411,0.1461,0.5426,0.4574,0.5426,1.0008,9319.2721,5891.6562
"GenderWoman",-0.0315,0.0324,-0.0981,0.0307,-0.0978,0.031,0.1639,0.8361,0.8361,1.0001,9005.9974,5786.2838
"GenderOther_small_n",0.0351,0.1678,-0.3626,0.3884,-0.3514,0.3946,0.5839,0.4161,0.5839,1.0001,11983.3458,4954.4379
"Age",0.0149,0.0173,-0.0183,0.049,-0.0183,0.0488,0.8074,0.1926,0.8074,1,8590.9522,6097.9816
"EthnBlackDAfrican",0.0793,0.0926,-0.1024,0.2696,-0.1025,0.2693,0.8125,0.1875,0.8125,1,9025.2993,5942.2065
"EthnCaucasianDWhite",0.0672,0.067,-0.0568,0.2174,-0.0612,0.2108,0.8538,0.1462,0.8538,1,10005.8979,5624.8713
"EthnOther_small_n",-0.0565,0.1487,-0.4079,0.221,-0.3919,0.2316,0.3519,0.6481,0.6481,1,6817.3362,4576.722
"Relat.StatusYesonepartner",-0.0154,0.0362,-0.0865,0.0557,-0.0825,0.059,0.3368,0.6632,0.6632,1.0003,9305.6058,5675.0533
"Relat.StatusOther_small_n",0.0012,0.1629,-0.3614,0.3425,-0.365,0.3371,0.5035,0.4965,0.5035,1.0005,8653.8186,5197.3037
"Education4yeardegree",-0.0555,0.0706,-0.2055,0.081,-0.2066,0.0796,0.2086,0.7914,0.7914,0.9999,9754.6672,5759.7216
"EducationHighschool",-0.0217,0.0765,-0.1793,0.1263,-0.1717,0.1332,0.39,0.61,0.61,1.0001,8977.5521,5791.1047
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",-0.0231,0.071,-0.1708,0.1168,-0.1737,0.1127,0.3726,0.6274,0.6274,0.9999,9784.5742,5695.5559
"EducationSomecollege",-0.0366,0.0757,-0.1899,0.1105,-0.1847,0.115,0.3062,0.6938,0.6938,1.0001,8675.7887,5664.7213
"EducationOther_small_n",-0.0913,0.3564,-0.9959,0.5701,-0.9445,0.615,0.3925,0.6075,0.6075,1,6030.1411,4046.8881
"StatusLadder",0.0164,0.0163,-0.0149,0.0491,-0.0136,0.0501,0.8494,0.1506,0.8494,1,8106.7826,5357.7176
"Political_Social",8e-04,0.0284,-0.0544,0.0573,-0.0553,0.0563,0.5112,0.4888,0.5112,1,8888.6523,6111.837
"Political_Economic",0.0167,0.0282,-0.04,0.073,-0.0377,0.0749,0.7246,0.2754,0.7246,1.0011,8618.5381,5971.7398
"How.Religious_1",-0.0013,0.0179,-0.0379,0.0337,-0.0372,0.0343,0.4695,0.5305,0.5305,0.9999,8704.5786,5888.5302
