"term","estimate","mad","eti_lower","eti_upper","hpdi_lower","hpdi_upper","prob_gt_0","prob_lt_0","pd","rhat","ess_bulk","ess_tail"
"LLM_FreqAboutonceaweek",0.0461,0.1691,-0.2817,0.3735,-0.2792,0.3752,0.6056,0.3944,0.6056,0.9999,6400.9868,6325.9298
"LLM_FreqAboutonceaday",0.2644,0.1699,-0.0827,0.5972,-0.0601,0.6092,0.9341,0.0659,0.9341,1.0005,6711.5251,5711.0243
"LLM_FreqMorethanonceaday",0.2597,0.1712,-0.0885,0.6006,-0.0818,0.6033,0.9314,0.0686,0.9314,1,6500.6878,5846.9148
"GenderWoman",-0.0091,0.0778,-0.1596,0.1431,-0.1545,0.1469,0.4516,0.5484,0.5484,0.9999,6313.1263,5839.5706
"GenderOther_small_n",-0.0196,0.2616,-0.5255,0.503,-0.507,0.5167,0.4705,0.5295,0.5295,1.0005,6215.2756,5553.0159
"Age",0.0148,0.0405,-0.0647,0.094,-0.0636,0.0947,0.6441,0.3559,0.6441,1,5598.8675,5185.3725
"EthnBlackDAfrican",0.1002,0.1842,-0.2532,0.4688,-0.2389,0.4808,0.7116,0.2884,0.7116,1,5489.4377,5224.0628
"EthnCaucasianDWhite",0.0854,0.1635,-0.2274,0.4077,-0.2313,0.4021,0.6994,0.3006,0.6994,1,5464.6494,5705.0841
"EthnHispanicDLatinx",-0.0812,0.2218,-0.5187,0.3595,-0.5258,0.3481,0.3568,0.6432,0.6432,0.9999,5189.2578,5913.9133
"EthnOther_small_n",0.036,0.1831,-0.3238,0.3934,-0.3186,0.3974,0.581,0.419,0.581,1.0001,5410.975,5398.6693
"Relat.StatusYesonepartner",0.0581,0.085,-0.1105,0.2234,-0.117,0.2154,0.753,0.247,0.753,1.0001,5996.0392,5445.5927
"Relat.StatusOther_small_n",-0.0082,0.2398,-0.4566,0.4667,-0.4571,0.4662,0.486,0.514,0.514,1.0003,5886.7689,5618.5809
"Education4yeardegree",0.0196,0.1199,-0.2192,0.2554,-0.2236,0.2501,0.5614,0.4386,0.5614,1,6467.7299,6020.0751
"EducationHighschool",0.0686,0.1528,-0.2421,0.3812,-0.2352,0.3879,0.6724,0.3276,0.6724,1.0002,6315.8555,5496.7827
"EducationPostgraduateDProfessionaldegreeorotheradvanceddegree",-0.043,0.1369,-0.3255,0.228,-0.3111,0.2367,0.3795,0.6205,0.6205,1.0007,5887.2166,5242.5106
"EducationSomecollege",0.0531,0.1342,-0.2176,0.3232,-0.2133,0.3248,0.6505,0.3495,0.6505,0.9999,6565.216,5509.1569
"EducationOther_small_n",0.3107,0.3122,-0.3338,0.9419,-0.3272,0.9474,0.8364,0.1636,0.8364,1.0008,7266.3614,6228.7906
"StatusLadder",-2e-04,0.0376,-0.0781,0.0757,-0.0718,0.0813,0.4979,0.5021,0.5021,1,5637.5302,5264.9329
"Political_Social",-0.0584,0.0749,-0.2052,0.0891,-0.2007,0.0923,0.2122,0.7878,0.7878,0.9999,6666.4416,5788.1899
"Political_Economic",0.0502,0.0701,-0.0886,0.1897,-0.0828,0.1941,0.7632,0.2367,0.7632,0.9999,6752.9845,5432.8633
"How.Religious_1",0.0027,0.0435,-0.0822,0.0892,-0.0807,0.0904,0.5244,0.4756,0.5244,1.0002,6291.216,5944.6851
